model_name,type,created_at,updated_at,accuracy,f1_score,precision,recall,roc_auc,confusion_matrix,C,penalty
logistic_regression_fast,traditional,2026-03-31T00:04:49.935478,2026-03-31T00:05:00.116164,0.8916808631459399,0.8920835811278581,0.8933844329014552,0.8916808631459399,0.9664552475220048,"[[7425  920]
 [ 606 5137]]",,
logistic_regression,traditional,2026-01-26T18:13:40.754420,2026-01-26T18:13:48.089617,0.9454774300589278,0.9454658495904799,0.9455126063216669,0.9454774300589278,0.9876341838871205,"[[7929  525]
 [ 428 8597]]",10.0,l1
